,title,publication_date,abstract
446,Real-time in situ observations of reaction and transport phenomena during silicate glass corrosion by fluid-cell Raman spectroscopy,2019-02-25,"Borosilicate glass is an important material used in various industries due to its chemical durability, such as for the immobilization of high-level nuclear waste. However, it is susceptible to aqueous corrosion, recognizable by the formation of surface alteration layers (SALs). Here, we report in situ fluid-cell Raman spectroscopic experiments providing real-time insights into reaction and transport processes during the aqueous corrosion of a borosilicate glass. The formation of a several-micrometre-thick water-rich zone between the SAL and the glass, interpreted as an interface solution, is detected, as well as pH gradients at the glass surface and within the SAL. By replacing the solution with a deuterated solution, it is observed that water transport through the SAL is not rate-limiting. The data support an interface-coupled dissolution–reprecipitation process for SAL formation. Fluid-cell Raman spectroscopic experiments open up new avenues for studying solid–water reactions, with the ability to in situ trace specific sub-processes in real time by using stable isotopes."
447,Bioinspired neuron-like electronics,2019-02-25,"As an important application of functional biomaterials, neural probes have contributed substantially to studying the brain. Bioinspired and biomimetic strategies have begun to be applied to the development of neural probes, although these and previous generations of probes have had structural and mechanical dissimilarities from their neuron targets that lead to neuronal loss, neuroinflammatory responses and measurement instabilities. Here, we present a bioinspired design for neural probes—neuron-like electronics (NeuE)—where the key building blocks mimic the subcellular structural features and mechanical properties of neurons. Full three-dimensional mapping of implanted NeuE–brain interfaces highlights the structural indistinguishability and intimate interpenetration of NeuE and neurons. Time-dependent histology and electrophysiology studies further reveal a structurally and functionally stable interface with the neuronal and glial networks shortly following implantation, thus opening opportunities for next-generation brain–machine interfaces. Finally, the NeuE subcellular structural features are shown to facilitate migration of endogenous neural progenitor cells, thus holding promise as an electrically active platform for transplantation-free regenerative medicine."
448,Manipulating exchange bias by spin–orbit torque,2019-02-18,"Exchange bias, a shift in the hysteresis loop of a ferromagnet arising from interfacial exchange coupling between adjacent ferromagnetic and antiferromagnetic layers, is an integral part of spintronic devices. Here, we show that spin–orbit torque generated from spin current, a promising approach to switch the ferromagnetic magnetization of next-generation magnetic random access memory, can also be used to manipulate the exchange bias. Applying current pulses to a Pt/Co/IrMn trilayer causes concurrent switching of ferromagnetic magnetization and exchange bias, but with different underlying mechanisms. This implies that the ferromagnetic magnetization and exchange bias can be manipulated independently. Our work demonstrates that spin–orbit torque in ferromagnet/antiferromagnet heterostructures facilitates independent manipulations of distinct magnetic properties, motivating innovative designs for future spintronics devices."
449,Fine tuning the extracellular environment accelerates the derivation of kidney organoids from human pluripotent stem cells,2019-02-18,"The generation of organoids is one of the biggest scientific advances in regenerative medicine. Here, by lengthening the time that human pluripotent stem cells (hPSCs) were exposed to a three-dimensional microenvironment, and by applying defined renal inductive signals, we generated kidney organoids that transcriptomically matched second-trimester human fetal kidneys. We validated these results using ex vivo and in vitro assays that model renal development. Furthermore, we developed a transplantation method that utilizes the chick chorioallantoic membrane. This approach created a soft in vivo microenvironment that promoted the growth and differentiation of implanted kidney organoids, as well as providing a vascular component. The stiffness of the in ovo chorioallantoic membrane microenvironment was recapitulated in vitro by fabricating compliant hydrogels. These biomaterials promoted the efficient generation of renal vesicles and nephron structures, demonstrating that a soft environment accelerates the differentiation of hPSC-derived kidney organoids."
450,Electric field modulation of magnetic exchange in molecular helices,2019-02-18,"The possibility to operate on magnetic materials through the application of electric rather than magnetic fields—promising faster, more compact and energy efficient circuits—continues to spur the investigation of magnetoelectric effects. Symmetry considerations, in particular the lack of an inversion centre, characterize the magnetoelectric effect. In addition, spin–orbit coupling is generally considered necessary to make a spin system sensitive to a charge distribution. However, a magnetoelectric effect not relying on spin–orbit coupling is appealing for spin-based quantum technologies. Here, we report the detection of a magnetoelectric effect that we attribute to an electric field modulation of the magnetic exchange interaction without atomic displacement. The effect is visible in electron paramagnetic resonance absorption of molecular helices under electric field modulation and confirmed by specific symmetry properties and spectral simulation."
451,Strange metal from a frustration-driven charge order instability,2019-02-11,"Interparticle interactions are self-conflicting rather than cooperative on particular lattices. When such geometrical frustration occurs, charge ordering (CO) can be destabilized into non-trivial charge states such as the recently observed charge glass (CG). A more extreme case is the frustration-induced quantum melting of the CO that has been theoretically proposed. Here, we report d.c. charge transport and noise spectroscopy measurements for a triangular-lattice organic conductor situated close to the CO or CG. Our experiments demonstrate that these materials can host a strange metal with unusual charge dynamics, which we attribute to frustration-induced fluctuations of the CO or CG. Our results also show that the anomalous charge fluctuations can freeze into an insulating state when uniaxial stress is applied, which reduces the geometrical frustration. The present observations suggest the existence of the frustration-induced quantum melting of charges analogous to spin liquids."
452,A high-rate and long-life organic–oxygen battery,2019-02-11,"Alkali metal–oxygen batteries promise high gravimetric energy densities but suffer from low rate capability, poor cycle life and safety hazards associated with metal anodes. Here we describe a safe, high-rate and long-life oxygen battery that exploits a potassium biphenyl complex anode and a dimethylsulfoxide-mediated potassium superoxide cathode. The proposed potassium biphenyl complex–oxygen battery exhibits an unprecedented cycle life (3,000 cycles) with a superior average coulombic efficiency of more than 99.84% at a high current density of 4.0 mA cm−2. We further reduce the redox potential of biphenyl by adding the electron-donating methyl group to the benzene ring, which successfully achieved a redox potential of 0.14 V versus K/K+. This demonstrates the direction and opportunities to further improve the cell voltage and energy density of the alkali-metal organic–oxygen batteries."
453,Gate controlling of quantum interference and direct observation of anti-resonances in single molecule charge transport,2019-02-11,"Quantum interference can profoundly affect charge transport in single molecules, but experiments can usually measure only the conductance at the Fermi energy. Because, in general, the most pronounced features of the quantum interference are not located at the Fermi energy, it is highly desirable to probe charge transport in a broader energy range. Here, by means of electrochemical gating, we measure the conductance and map the transmission functions of single molecules at and around the Fermi energy, and study signatures associated with constructive and destructive interference. With electrochemical gate control, we tune the quantum interference between the highest occupied molecular orbital and lowest unoccupied molecular orbital, and directly observe anti-resonance, a distinct feature of destructive interference. By tuning the molecule in and out of anti-resonance, we achieve continuous control of the conductance over two orders of magnitude, demonstrating a different gating mechanism to conventional field-effect transistors."
454,Anti-resonance features of destructive quantum interference in single-molecule thiophene junctions achieved by electrochemical gating,2019-02-11,"Controlling the electrical conductance and in particular the occurrence of quantum interference in single-molecule junctions through gating effects has potential for the realization of high-performance functional molecular devices. In this work we used an electrochemically gated, mechanically controllable break junction technique to tune the electronic behaviour of thiophene-based molecular junctions that show destructive quantum interference features. By varying the voltage applied to the electrochemical gate at room temperature, we reached a conductance minimum that provides direct evidence of charge transport controlled by an anti-resonance arising from destructive quantum interference. Our molecular system enables conductance tuning close to two orders of magnitude within the non-faradaic potential region, which is significantly higher than that achieved with molecules not showing destructive quantum interference. Our experimental results, interpreted using quantum transport theory, demonstrate that electrochemical gating is a promising strategy for obtaining improved in situ control over the electrical performance of interference-based molecular devices."
455,Metal–oxygen decoordination stabilizes anion redox in Li-rich oxides,2019-02-04,"Reversible high-voltage redox chemistry is an essential component of many electrochemical technologies, from (electro)catalysts to lithium-ion batteries. Oxygen-anion redox has garnered intense interest for such applications, particularly lithium-ion batteries, as it offers substantial redox capacity at more than 4 V versus Li/Li+ in a variety of oxide materials. However, oxidation of oxygen is almost universally correlated with irreversible local structural transformations, voltage hysteresis and voltage fade, which currently preclude its widespread use. By comprehensively studying the Li2−xIr1−ySnyO3 model system, which exhibits tunable oxidation state and structural evolution with y upon cycling, we reveal that this structure–redox coupling arises from the local stabilization of short approximately 1.8 Å metal–oxygen π bonds and approximately 1.4 Å O–O dimers during oxygen redox, which occurs in Li2−xIr1−ySnyO3 through ligand-to-metal charge transfer. Crucially, formation of these oxidized oxygen species necessitates the decoordination of oxygen to a single covalent bonding partner through formation of vacancies at neighbouring cation sites, driving cation disorder. These insights establish a point-defect explanation for why anion redox often occurs alongside local structural disordering and voltage hysteresis during cycling. Our findings offer an explanation for the unique electrochemical properties of lithium-rich layered oxides, with implications generally for the design of materials employing oxygen redox chemistry."
456,Molecular parameters responsible for thermally activated transport in doped organic semiconductors,2019-01-28,"Doped organic semiconductors typically exhibit a thermal activation of their electrical conductivity, whose physical origin is still under scientific debate. In this study, we disclose relationships between molecular parameters and the thermal activation energy (EA) of the conductivity, revealing that charge transport is controlled by the properties of host–dopant integer charge transfer complexes (ICTCs) in efficiently doped organic semiconductors. At low doping concentrations, charge transport is limited by the Coulomb binding energy of ICTCs, which can be minimized by systematic modification of the charge distribution on the individual ions. The investigation of a wide variety of material systems reveals that static energetic disorder induced by ICTC dipole moments sets a general lower limit for EA at large doping concentrations. The impact of disorder can be reduced by adjusting the ICTC density and the intramolecular relaxation energy of host ions, allowing an increase of conductivity by many orders of magnitude."
457,Three-dimensional printing of piezoelectric materials with designed anisotropy and directional response,2019-01-21,"Piezoelectric coefficients are constrained by the intrinsic crystal structure of the constituent material. Here we describe design and manufacturing routes to previously inaccessible classes of piezoelectric materials that have arbitrary piezoelectric coefficient tensors. Our scheme is based on the manipulation of electric displacement maps from families of structural cell patterns. We implement our designs by additively manufacturing free-form, perovskite-based piezoelectric nanocomposites with complex three-dimensional architectures. The resulting voltage response of the activated piezoelectric metamaterials at a given mode can be selectively suppressed, reversed or enhanced with applied stress. Additionally, these electromechanical metamaterials achieve high specific piezoelectric constants and tailorable flexibility using only a fraction of their parent materials. This strategy may be applied to create the next generation of intelligent infrastructure, able to perform a variety of structural and functional tasks, including simultaneous impact absorption and monitoring, three-dimensional pressure mapping and directionality detection."
458,Chiral crystal-like droplets displaying unidirectional rotational sliding,2019-01-21,"The self-assembly of organic molecules into supramolecular materials with structural ordering beyond the nanometre scale is challenging. Here, we report the spontaneous self-assembly of a chiral discotic triphenylene derivative into millimetre-sized droplets. The structure of the droplets is characterized by high positional and orientational ordering and a three-dimensional integrity similar to that of single crystals. Notwithstanding, these assemblies slide when placed on a vertical substrate demonstrating their fluid nature. X-ray imaging shows that during the sliding process the internal crystal-like structure is maintained and that the droplets undergo clockwise or counterclockwise unidirectional rotation, depending on the chirality of their molecular components. Rheological measurements suggest that this rotational behaviour might result from the distinct yield stress between the (R)- and (S)-enantiomers. Overall, our findings demonstrate that molecular chirality can determine the movement direction of a supramolecular structure, thus expanding the fundamental understanding of the structure and dynamics of soft materials."
459,Sterile particle-induced inflammation is mediated by macrophages releasing IL-33 through a Bruton’s tyrosine kinase-dependent pathway,2019-01-21,"Initiation of the innate sterile inflammatory response that can develop in response to microparticle exposure is little understood. Here, we report that a potent type 2 immune response associated with the accumulation of neutrophils, eosinophils and alternatively activated (M2) macrophages was observed in response to sterile microparticles similar in size to wear debris associated with prosthetic implants. Although elevations in interleukin-33 (IL-33) and type 2 cytokines occurred independently of caspase-1 inflammasome signalling, the response was dependent on Bruton’s tyrosine kinase (BTK). IL-33 was produced by macrophages and BTK-dependent expression of IL-33 by macrophages was sufficient to initiate the type 2 response. Analysis of inflammation in patient periprosthetic tissue also revealed type 2 responses under aseptic conditions in patients undergoing revision surgery. These findings indicate that microparticle-induced sterile inflammation is initiated by macrophages activated to produce IL-33. They further suggest that both BTK and IL-33 may provide therapeutic targets for wear debris-induced periprosthetic inflammation."
460,Antigens reversibly conjugated to a polymeric glyco-adjuvant induce protective humoral and cellular immunity,2019-01-14,"Fully effective vaccines for complex infections must elicit a diverse repertoire of antibodies (humoral immunity) and CD8+ T-cell responses (cellular immunity). Here, we present a synthetic glyco-adjuvant named p(Man–TLR7), which, when conjugated to antigens, elicits robust humoral and cellular immunity. p(Man–TLR7) is a random copolymer composed of monomers that either target dendritic cells (DCs) via mannose-binding receptors or activate DCs via Toll-like receptor 7 (TLR7). Protein antigens are conjugated to p(Man–TLR7) via a self-immolative linkage that releases chemically unmodified antigen after endocytosis, thus amplifying antigen presentation to T cells. Studies with ovalbumin (OVA)–p(Man–TLR7) conjugates demonstrate that OVA–p(Man–TLR7) generates greater humoral and cellular immunity than OVA conjugated to polymers lacking either mannose targeting or TLR7 ligand. We show significant enhancement of Plasmodium falciparum-derived circumsporozoite protein (CSP)-specific T-cell responses, expansion in the breadth of the αCSP IgG response and increased inhibition of sporozoite invasion into hepatocytes with CSP–p(Man–TLR7) when compared with CSP formulated with MPLA/QS-21-loaded liposomes—the adjuvant used in the most clinically advanced malaria vaccine. We conclude that our antigen–p(Man–TLR7) platform offers a strategy to enhance the immunogenicity of protein subunit vaccines."
461,Double doping of conjugated polymers with monomer molecular dopants,2019-01-14,"Molecular doping is a crucial tool for controlling the charge-carrier concentration in organic semiconductors. Each dopant molecule is commonly thought to give rise to only one polaron, leading to a maximum of one donor:acceptor charge-transfer complex and hence an ionization efficiency of 100%. However, this theoretical limit is rarely achieved because of incomplete charge transfer and the presence of unreacted dopant. Here, we establish that common p-dopants can in fact accept two electrons per molecule from conjugated polymers with a low ionization energy. Each dopant molecule participates in two charge-transfer events, leading to the formation of dopant dianions and an ionization efficiency of up to 200%. Furthermore, we show that the resulting integer charge-transfer complex can dissociate with an efficiency of up to 170%. The concept of double doping introduced here may allow the dopant fraction required to optimize charge conduction to be halved."
462,Phonon coherences reveal the polaronic character of excitons in two-dimensional lead halide perovskites,2019-01-14,"Hybrid organic–inorganic semiconductors feature complex lattice dynamics due to the ionic character of the crystal and the softness arising from non-covalent bonds between molecular moieties and the inorganic network. Here we establish that such dynamic structural complexity in a prototypical two-dimensional lead iodide perovskite gives rise to the coexistence of diverse excitonic resonances, each with a distinct degree of polaronic character. By means of high-resolution resonant impulsive stimulated Raman spectroscopy, we identify vibrational wavepacket dynamics that evolve along different configurational coordinates for distinct excitons and photocarriers. Employing density functional theory calculations, we assign the observed coherent vibrational modes to various low-frequency (≲50 cm−1) optical phonons involving motion in the lead iodide layers. We thus conclude that different excitons induce specific lattice reorganizations, which are signatures of polaronic binding. This insight into the energetic/configurational landscape involving globally neutral primary photoexcitations may be relevant to a broader class of emerging hybrid semiconductor materials."
463,Addressing the isomer cataloguing problem for nanopores in two-dimensional materials,2019-01-14,"The presence of extended defects or nanopores in two-dimensional (2D) materials can change the electronic, magnetic and barrier membrane properties of the materials. However, the large number of possible lattice isomers of nanopores makes their quantitative study a seemingly intractable problem, confounding the interpretation of experimental and simulated data. Here we formulate a solution to this isomer cataloguing problem (ICP), combining electronic-structure calculations, kinetic Monte Carlo simulations, and chemical graph theory, to generate a catalogue of unique, most-probable isomers of 2D lattice nanopores. The results demonstrate remarkable agreement with precise nanopore shapes observed experimentally in graphene and show that the thermodynamic stability of a nanopore is distinct from its kinetic stability. Triangular nanopores prevalent in hexagonal boron nitride are also predicted, extending this approach to other 2D lattices. The proposed method should accelerate the application of nanoporous 2D materials by establishing specific links between experiment and theory/simulations, and by providing a much-needed connection between molecular design and fabrication."
464,Asymmetrically strained quantum dots with non-fluctuating single-dot emission spectra and subthermal room-temperature linewidths,2019-01-07,"The application of colloidal semiconductor quantum dots as single-dot light sources still requires several challenges to be overcome. Recently, there has been considerable progress in suppressing intensity fluctuations (blinking) by encapsulating an emitting core in a thick protective shell. However, these nanostructures still show considerable fluctuations in both emission energy and linewidth. Here we demonstrate type-I core/shell heterostructures that overcome these deficiencies. They are made by combining wurtzite semiconductors with a large, directionally anisotropic lattice mismatch, which results in strong asymmetric compression of the emitting core. This modifies the structure of band-edge excitonic states and leads to accelerated radiative decay, reduced exciton–phonon interactions, and suppressed coupling to the fluctuating electrostatic environment. As a result, individual asymmetrically strained dots exhibit highly stable emission energy (<1 meV standard deviation) and a subthermal room-temperature linewidth (~20 meV), concurrent with nearly nonblinking behaviour, high emission quantum yields, and a widely tunable emission colour."
465,High-resolution mapping of infraslow cortical brain activity enabled by graphene microtransistors,2018-12-31,"Recording infraslow brain signals (<0.1 Hz) with microelectrodes is severely hampered by current microelectrode materials, primarily due to limitations resulting from voltage drift and high electrode impedance. Hence, most recording systems include high-pass filters that solve saturation issues but come hand in hand with loss of physiological and pathological information. In this work, we use flexible epicortical and intracortical arrays of graphene solution-gated field-effect transistors (gSGFETs) to map cortical spreading depression in rats and demonstrate that gSGFETs are able to record, with high fidelity, infraslow signals together with signals in the typical local field potential bandwidth. The wide recording bandwidth results from the direct field-effect coupling of the active transistor, in contrast to standard passive electrodes, as well as from the electrochemical inertness of graphene. Taking advantage of such functionality, we envision broad applications of gSGFET technology for monitoring infraslow brain activity both in research and in the clinic."
466,Observation of higher-order topological acoustic states protected by generalized chiral symmetry,2018-12-31,"Topological systems are inherently robust to disorder and continuous perturbations, resulting in dissipation-free edge transport of electrons in quantum solids, or reflectionless guiding of photons and phonons in classical wave systems characterized by topological invariants. Recently, a new class of topological materials characterized by bulk polarization has been introduced, and was shown to host higher-order topological corner states. Here, we demonstrate theoretically and experimentally that 3D-printed two-dimensional acoustic meta-structures can possess nontrivial bulk topological polarization and host one-dimensional edge and Wannier-type second-order zero-dimensional corner states with unique acoustic properties. We observe second-order topological states protected by a generalized chiral symmetry of the meta-structure, which are localized at the corners and are pinned to ‘zero energy’. Interestingly, unlike the ‘zero energy’ states protected by conventional chiral symmetry, the generalized chiral symmetry of our three-atom sublattice enables their spectral overlap with the continuum of bulk states without leakage. Our findings offer possibilities for advanced control of the propagation and manipulation of sound, including within the radiative continuum."
467,Multiferroic quantum criticality,2018-12-31,"The zero-temperature limit of a continuous phase transition is marked by a quantum critical point, which can generate physical effects that extend to elevated temperatures. Magnetic quantum criticality is now well established, and has been explored in systems ranging from heavy fermion metals to quantum Ising materials. Ferroelectric quantum critical behaviour has also been recently demonstrated, motivating a flurry of research investigating its consequences. Here, we introduce the concept of multiferroic quantum criticality, in which both magnetic and ferroelectric quantum criticality occur in the same system. We develop the phenomenology of multiferroic quantum criticality and describe the associated experimental signatures, such as phase stability and modified scaling relations of observables. We propose several material systems that could be tuned to multiferroic quantum criticality utilizing alloying and strain as control parameters. We hope that these results stimulate exploration of the interplay between different kinds of quantum critical behaviours."
468,Dislocation-induced thermal transport anisotropy in single-crystal group-III nitride films,2018-12-17,"Dislocations, one-dimensional lattice imperfections, are common to technologically important materials such as III–V semiconductors, and adversely affect heat dissipation in, for example, nitride-based high-power electronic devices. For decades, conventional nonlinear elasticity models have predicted that this thermal resistance is only appreciable when the heat flux is perpendicular to the dislocations. However, this dislocation-induced anisotropic thermal transport has yet to be seen experimentally. Using time-domain thermoreflectance, we measure strong thermal transport anisotropy governed by highly oriented threading dislocation arrays throughout micrometre-thick, single-crystal indium nitride films. We find that the cross-plane thermal conductivity is almost tenfold higher than the in-plane thermal conductivity at 80 K when the dislocation density is ~3 × 1010 cm−2. This large anisotropy is not predicted by conventional models. With enhanced understanding of dislocation–phonon interactions, our results may allow the tailoring of anisotropic thermal transport with line defects, and could facilitate methods for directed heat dissipation in the thermal management of diverse device applications."
469,Ionic modulation and ionic coupling effects in MoS,2018-12-17,"Coupled ionic–electronic effects present intriguing opportunities for device and circuit development. In particular, layered two-dimensional materials such as MoS2 offer highly anisotropic ionic transport properties, facilitating controlled ion migration and efficient ionic coupling among devices. Here, we report reversible modulation of MoS2 films that is consistent with local 2H–1T′ phase transitions by controlling the migration of Li+ ions with an electric field, where an increase/decrease in the local Li+ ion concentration leads to the transition between the 2H (semiconductor) and 1T′ (metal) phases. The resulting devices show excellent memristive behaviour and can be directly coupled with each other through local ionic exchange, naturally leading to synaptic competition and synaptic cooperation effects observed in biology. These results demonstrate the potential of direct modulation of two-dimensional materials through field-driven ionic processes, and can lead to future electronic and energy devices based on coupled ionic–electronic effects and biorealistic implementation of artificial neural networks."
470,Double-lattice photonic-crystal resonators enabling high-brightness semiconductor lasers with symmetric narrow-divergence beams,2018-12-17,"Achieving high brightness (where brightness is defined as optical power per unit area per unit solid angle) in semiconductor lasers is important for various applications, including direct-laser processing and light detection and ranging for next-generation smart production and mobility. Although the brightness of semiconductor lasers has been increased by the use of edge-emitting-type resonators, their brightness is still one order of magnitude smaller than that of gas and solid-state/fibre lasers, and they often suffer from large beam divergence with strong asymmetry and astigmatism. Here, we develop a so-called ‘double-lattice photonic crystal’, where we superimpose two photonic lattice groups separated by one-quarter wavelength in the x and y directions. Using this resonator, an output power of 10 W with a very narrow-divergence-angle (<0.3°) symmetric surface-emitted beam is achieved from a circular emission area of 500 μm diameter under pulsed conditions, which corresponds to a brightness of over 300 MW cm−2 sr−1. In addition, an output power up to ~7 W is obtained under continuous-wave conditions. Detailed analyses on the double-lattice structure indicate that the resonators have the potential to realize a brightness of up to 10 GW cm−2 sr−1, suggesting that compact, affordable semiconductor lasers will be able to rival existing gas and fibre/disk lasers."
471,Shape-based separation of synthetic microparticles,2018-12-10,"The functional properties of colloidal materials can be tailored by tuning the shape of their constituent particles. Unfortunately, a reliable, general methodology for purifying colloidal materials solely based on shape is still lacking. Here we exploit the single-particle analysis and sorting capabilities of the fluorescence-activated cell sorting (FACS) instrument, a commonly used tool in biomedical research, and demonstrate the ability to separate mixtures of synthetic microparticles based solely on their shape with high purity. We achieve this by simultaneously obtaining four independent optical scattering signals from the FACS instrument to create shape-specific ‘scattering signatures’ that can be used for particle classification and sorting. We demonstrate that these four-dimensional signatures can overcome the confounding effects of particle orientation on shape-based characterization. Using this strategy, robust discrimination of particles differing only slightly in shape and an efficient selection of desired shapes from mixtures comprising particles of diverse sizes and materials is demonstrated."
472,Electric-field induced structural transition in vertical MoTe,2018-12-10,"Transition metal dichalcogenides have attracted attention as potential building blocks for various electronic applications due to their atomically thin nature and polymorphism. Here, we report an electric-field-induced structural transition from a 2H semiconducting to a distorted transient structure (2Hd) and orthorhombic Td conducting phase in vertical 2H-MoTe2- and Mo1−xWxTe2-based resistive random access memory (RRAM) devices. RRAM programming voltages are tunable by the transition metal dichalcogenide thickness and show a distinctive trend of requiring lower electric fields for Mo1−xWxTe2 alloys versus MoTe2 compounds. Devices showed reproducible resistive switching within 10 ns between a high resistive state and a low resistive state. Moreover, using an Al2O3/MoTe2 stack, On/off current ratios of 106 with programming currents lower than 1 μA were achieved in a selectorless RRAM architecture. The sum of these findings demonstrates that controlled electrical state switching in two-dimensional materials is achievable and highlights the potential of transition metal dichalcogenides for memory applications."
473,Revealing molecular-level surface redox sites of controllably oxidized black phosphorus nanosheets,2018-12-10,"Bulk and two-dimensional black phosphorus are considered to be promising battery materials due to their high theoretical capacities of 2,600 mAh g−1. However, their rate and cycling capabilities are limited by the intrinsic (de-)alloying mechanism. Here, we demonstrate a unique surface redox molecular-level mechanism of P sites on oxidized black phosphorus nanosheets that are strongly coupled with graphene via strong interlayer bonding. These redox-active sites of the oxidized black phosphorus are confined at the amorphorized heterointerface, revealing truly reversible pseudocapacitance (99% of total stored charge at 2,000 mV s−1). Moreover, oxidized black-phosphorus-based electrodes exhibit a capacitance of 478 F g–1 (four times greater than black phosphorus) with a rate capability of ~72% (compared to 21.2% for black phosphorus) and retention of ~91% over 50,000 cycles. In situ spectroelectrochemical and theoretical analyses reveal a reversible change in the surface electronic structure and chemical environment of the surface-exposed P redox sites."
474,Long spin coherence length and bulk-like spin–orbit torque in ferrimagnetic multilayers,2018-12-03,"Spintronics relies on magnetization switching through current-induced spin torques. However, because spin transfer torque for ferromagnets is a surface torque, a large switching current is required for a thick, thermally stable ferromagnetic cell, and this remains a fundamental obstacle for high-density non-volatile applications with ferromagnets. Here, we report a long spin coherence length and associated bulk-like torque characteristics in an antiferromagnetically coupled ferrimagnetic multilayer. We find that a transverse spin current can pass through >10-nm-thick ferrimagnetic Co/Tb multilayers, whereas it is entirely absorbed by a 1-nm-thick ferromagnetic Co/Ni multilayer. We also find that the switching efficiency of Co/Tb multilayers partially reflects a bulk-like torque characteristic, as it increases with ferrimagnet thickness up to 8 nm and then decreases, in clear contrast to the 1/thickness dependence of ferromagnetic Co/Ni multilayers. Our results on antiferromagnetically coupled systems will invigorate research towards the development of energy-efficient spintronics."
475,Regioselective surface encoding of nanoparticles for programmable self-assembly,2018-12-03,"Surface encoding of colloidal nanoparticles with DNA is fundamental for fields where recognition interaction is required, particularly controllable material self-assembly. However, regioselective surface encoding of nanoparticles is still challenging because of the difficulty associated with breaking the identical chemical environment on nanoparticle surfaces. Here we demonstrate the selective blocking of nanoparticle surfaces with a diblock copolymer (polystyrene-b-polyacrylic acid). By tuning the interfacial free energies of a ternary system involving the nanoparticles, solvent and copolymer, controllable accessibilities to the nanoparticles’ surfaces are obtained. Through the modification of the polymer-free surface region with single-stranded DNA, regioselective and programmable surface encoding is realized. The resultant interparticle binding potential is selective and directional, allowing for an increased degree of complexity of potential self-assemblies. The versatility of this regioselective surface encoding strategy is demonstrated on various nanoparticles of isotropic or anisotropic shape and a total of 24 distinct complex nanoassemblies are fabricated."
476,Thermal meta-device in analogue of zero-index photonics,2018-12-03,"Inspired by the developments in photonic metamaterials, the concept of thermal metamaterials has promised new avenues for manipulating the flow of heat. In photonics, the existence of natural materials with both positive and negative permittivities has enabled the creation of metamaterials with a very wide range of effective parameters. In contrast, in conductive heat transfer, the available range of thermal conductivities in natural materials is far narrower, strongly restricting the effective parameters of thermal metamaterials and limiting possible applications in extreme environments. Here, we identify a rigorous correspondence between zero index in Maxwell’s equations and infinite thermal conductivity in Fourier’s law. We also propose a conductive system with an integrated convective element that creates an extreme effective thermal conductivity, and hence by correspondence a thermal analogue of photonic near-zero-index metamaterials, a class of metamaterials with crucial importance in controlling light. Synergizing the general properties of zero-index metamaterials and the specific diffusive nature of thermal conduction, we theoretically and experimentally demonstrate a thermal zero-index cloak. In contrast with conventional thermal cloaks, this meta-device can operate in a highly conductive background and the cloaked object preserves great sensitivity to external temperature changes. Our work demonstrates a thermal metamaterial which greatly enhances the capability for molding the flow of heat."
477,Real-time insight into the doping mechanism of redox-active organic radical polymers,2018-11-26,"Organic radical polymers for batteries represent some of the fastest-charging redox active materials available. Electron transport and charge storage must be accompanied by ion transport and doping for charge neutrality, but the nature of this process in organic radical polymers is not well understood. This is difficult to intuitively predict because the pendant radical group distinguishes organic radical polymers from conjugated, charged or polar polymers. Here we show for the first time a quantitative view of in situ ion transport and doping in organic radical polymers during the redox process. Two modes dominate: doping by lithium ion expulsion and doping by anion uptake. The dominance of one mode over the other is controlled by anion type, electrolyte concentration and timescale. These results apply in any scenario in which electrolyte is in contact with a non-conjugated redox active polymer and present a means of quantifying doping effects."
478,Highly mechanosensitive ion channels from graphene-embedded crown ethers,2018-11-26,"The ability to tune ionic permeation across nanoscale pores profoundly impacts diverse fields from nanofluidic computing to drug delivery. Here, we take advantage of complex formation between crown ethers and dissolved metal ions to demonstrate graphene-based ion channels highly sensitive to externally applied lattice strain. We perform extensive room-temperature molecular dynamics simulations of the effects of tensile lattice strain on ion permeation across graphene-embedded crown ether pores. Our findings suggest the first instance of solid-state ion channels with an exponential permeation sensitivity to strain, yielding an order of magnitude ion current increase for 2% of isotropic lattice strain. Significant permeation tuning is also shown to be achievable with anisotropic strains. Finally, we demonstrate strain-controllable ion sieving in salt mixtures. The observed high mechanosensitivity is shown to arise from strain-induced control over the competition between ion–crown and ion–solvent interactions, mediated by the atomic thinness of graphene."
479,Flexible layer-structured Bi,2018-11-19,"Inorganic chalcogenides are traditional high-performance thermoelectric materials. However, they suffer from intrinsic brittleness and it is very difficult to obtain materials with both high thermoelectric ability and good flexibility. Here, we report a flexible thermoelectric material comprising highly ordered Bi2Te3 nanocrystals anchored on a single-walled carbon nanotube (SWCNT) network, where a crystallographic relationship exists between the Bi2Te3 <\(\bar{1}2\bar{1}0\)> orientation and SWCNT bundle axis. This material has a power factor of ~1,600 μW m−1 K−2 at room temperature, decreasing to 1,100 μW m−1 K−2 at 473 K. With a low in-plane lattice thermal conductivity of 0.26 ± 0.03 W m−1 K−1, a maximum thermoelectric figure of merit (ZT) of 0.89 at room temperature is achieved, originating from a strong phonon scattering effect. The origin of the excellent flexibility and thermoelectric performance of the Bi2Te3–SWCNT material is attributed, by experimental and computational evidence, to its crystal orientation, interface and nanopore structure. Our results provide insight into the design and fabrication of high-performance flexible thermoelectric materials."
